Modelo,AUC Antes,AUC Depois,Ganho
Random Forest,0.7544670912492375,0.7555776252199016,0.0011105339706640738
XGBoost,0.7444901856469632,0.7437908709640642,-0.0006993146828990771
LightGBM,0.764512130243308,0.7646103390849741,9.820884166611421e-05
