Comparação,Δ AUC médio,t-statistic,p-value,Resultado
Random Forest vs XGBoost,0.011723451575638588,8.772956133540523,1.05177480563389e-05,✓ Sig.
Random Forest vs Logística,0.032669767356871215,10.93658408805543,1.690344052212467e-06,✓ Sig.
XGBoost vs LightGBM,-0.01782014744425431,-9.153279554351334,7.4348100666135935e-06,✓ Sig.
XGBoost vs Logística,0.020946315781232627,5.683054608515445,0.00030069862818059317,✓ Sig.
LightGBM vs Logística,0.038766463225486936,15.031569875846431,1.1076884634314732e-07,✓ Sig.
