Modelo,Brier Bruto,Brier Calibrado,Melhoria
Random Forest,0.15096230590718113,0.13958054268017447,0.011381763227006653
XGBoost,0.1549657602294495,0.14301457242292354,0.01195118780652596
LightGBM,0.14514112416505517,0.1381993245549717,0.006941799610083482
