Modelo,Accuracy,Precision,Recall,F1,ROC AUC,PR AUC,Log Loss,Brier
Baseline,0.7788333333333334,0.0,0.0,0.0,0.5,0.22116666666666668,7.971654674559744,0.22116666666666668
Logística,0.7015,0.38514851485148516,0.586284853051997,0.4648939348670451,0.6992359868158259,0.4435697511826016,0.5920552329275653,0.20035296097337843
Random Forest,0.7978333333333333,0.5514440433212996,0.4604370761115298,0.5018480492813142,0.7544670912492375,0.5108280652093782,0.4778149447094606,0.15102043253693076
XGBoost,0.7906666666666666,0.5324200913242009,0.43933685003767897,0.48142031379025596,0.7444901856469632,0.5029782545178798,0.49248222725651664,0.15363143697883136
LightGBM,0.7971666666666667,0.5519848771266541,0.4400904295403165,0.489727463312369,0.764512130243308,0.5282172441945054,0.45669015890640974,0.1456336696537257
